"Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status"
" Adam Miller ,bcherry@example.com,+12794198633x555,Web Development,Saunders Inc University,2026-07-19,Under Review"
" Amanda White ,gmcgrath@example.org,9877971502,UI/UX Design,Oneal Inc University,2026-07-19,Under Review"
" Emily Torres ,villanuevathomas@example.net,(620)3613890x4883,Data Science,""Petty, Clark And Irwin University"",2026-07-19,Under Review"
" James Robinson ,williamvalentine@example.org,4812129695,Web Development,""Ho, Garcia And Gutierrez University"",2026-07-19,Rejected"
" Tina Newton ,kharris@example.net,(795)2683086x8476,AI/ML,""Williams, Murphy And Lewis University"",2026-07-19,Under Review"
"Hannah Abbott,geraldpaul@example.com,(946)7110440x372,Data Science,Not Specified,2026-07-19,Selected"
"Victoria Mccall,ymacias@example.net,459.800.7896x335,Web Development,Not Specified,2026-07-19,Under Review"
"Jennifer Davila,imorales@example.org,0017654871477x507,Mobile App,Not Specified,2026-07-19,Under Review"
"Gregory Anderson,megan17@example.org,5574702716,UI/UX Design,Not Specified,2026-07-19,Selected"
"Marcus Anderson,tanyagray@example.net,893.638.4584x35062,AI/ML,Duncan And Sons University,2026-07-19,Under Review"
"Joshua Garcia,desiree97@example.net,9585282604,Web Development,""Barnes, Johnson And Molina University"",2026-07-19,Under Review"
"George Vaughn,zwest@example.org,6376250288x50469,Mobile App,Macias-Thornton University,2026-07-19,Under Review"
"Ashley Rodriguez,tara76@example.org,8242378590,UI/UX Design,""Oneill, Simpson And Walker University"",2026-07-19,Selected"
"Michael Torres,ashley67@example.com,554.575.4980,Data Science,""Reynolds, Medina And Woods University"",2026-07-19,Rejected"
"Mr. Andrew Suarez,randerson@example.org,+17848998953,AI/ML,""Jones, Boone And Stone University"",2026-07-19,Rejected"
"Andrew Gardner,markhernandez@example.org,0017265119233x80372,Mobile App,""Andrews, Benson And Hansen University"",2026-07-19,Selected"
"Kim Fuller,josephadams@example.net,0012333277397x6969,Data Science,""Lee, Moore And Hunt University"",2026-07-19,Under Review"
"Nicholas Lee,jacksonjames@example.com,9732969772,UI/UX Design,Ball-Howard University,2026-07-19,Under Review"
"Lisa Clark,stephanie43@example.com,0015782362157,AI/ML,Hodges Plc University,2026-07-19,Selected"
"Sandra Silva,robertlewis@example.org,606.459.1888x45295,Web Development,""Garcia, Thompson And Jenkins University"",2026-07-19,Under Review"
"Zachary Middleton,emily93@example.org,631.449.7785,UI/UX Design,""Cooper, Lee And Gibson University"",2026-07-19,Selected"
"Steve Smith,kristina74@example.net,3848871906x74474,AI/ML,Hartman Inc University,2026-07-19,Selected"
"Zachary Johnson,kmathis@example.net,(291)2673146,UI/UX Design,Collins Plc University,2026-07-19,Under Review"
"Robert Butler,finleyamy@example.net,2353718073x197,UI/UX Design,Garner Ltd University,2026-07-19,Selected"
"Jeremy Robinson,qperez@example.com,5746770514,Data Science,Mccormick Ltd University,2026-07-19,Rejected"
"Linda Leon,rebeccawall@example.org,0013624832257x69728,UI/UX Design,Barr Inc University,2026-07-19,Rejected"
"Danielle Morrow,preston07@example.org,+16835410057x80739,Web Development,Hall And Sons University,2026-07-19,Rejected"
"Joseph Caldwell,elizabeth89@example.com,(659)6013826x805,Data Science,Herrera Llc University,2026-07-19,Rejected"
"Christopher Dalton,charlesperez@example.org,+17029032392,Data Science,Morris-Cardenas University,2026-07-19,Under Review"
